system_id,player_id,rank,player_name
mlb,665489,1,Vladimir Guerrero Jr.
mlb,665487,2,Fernando Tatis Jr.
mlb,650391,3,Eloy Jimenez
mlb,645302,4,Victor Robles
mlb,668904,5,Royce Lewis
mlb,669222,6,Nick Senzel
mlb,666215,7,Forrest Whitley
mlb,663656,8,Kyle Tucker
mlb,666135,9,Alex Kirilloff
mlb,663898,10,Brendan Rodgers
mlb,666182,11,Bo Bichette
mlb,666200,12,Jesus Luzardo
mlb,677551,13,Wander Franco
mlb,666176,14,Jo Adell
mlb,669022,15,MacKenzie Gore
mlb,666211,16,Taylor Trammell
mlb,663554,17,Casey Mize
mlb,656629,18,Michael Kopech
mlb,656605,19,Mitch Keller
mlb,669374,20,Keston Hiura
mlb,656302,21,Dylan Cease
mlb,663698,22,Joey Bart
mlb,649966,23,Luis Urias
mlb,647336,24,Mike Soroka
mlb,666198,25,Carter Kieboom
mlb,642336,26,Francisco Mejia
mlb,664350,27,Sixto Sanchez
mlb,641703,28,Brent Honeywell
mlb,656713,29,Brendan McKay
mlb,657140,30,Kyle Wright
mlb,668881,31,Hunter Greene
mlb,666120,32,Ian Anderson
mlb,621052,33,Alex Reyes
mlb,663978,34,Chris Paddack
mlb,657077,35,Alex Verdugo
mlb,660688,36,Keibert Ruiz
mlb,665506,37,Cristian Pache
mlb,663586,38,Austin Riley
mlb,660821,39,Jesus Sanchez
mlb,673357,40,Luis Robert
mlb,663474,41,Triston McKenzie
mlb,640462,42,A.J. Puk
mlb,656954,43,Justus Sheffield
mlb,670541,44,Yordan Alvarez
mlb,669221,45,Sean Murphy
mlb,663647,46,Ke'Bryan Hayes
mlb,663611,47,Nick Madrigal
mlb,672715,48,Luis Patino
mlb,670970,49,Adrian Morejon
mlb,657053,50,Touki Toussaint
mlb,624413,51,Pete Alonso
mlb,666159,52,Matt Manning
mlb,663697,53,Jonathan India
mlb,663903,54,Brady Singer
mlb,669461,55,Matthew Liberatore
mlb,672284,56,Jarred Kelenic
mlb,664314,57,Estevan Florial
mlb,665926,58,Andres Gimenez
mlb,664761,59,Alec Bohm
mlb,665862,60,Jazz Chisholm
mlb,669357,61,Nolan Gorman
mlb,657624,62,Josh James
mlb,656288,63,Griffin Canning
mlb,666783,64,Yusniel Diaz
mlb,643376,65,Danny Jansen
mlb,642528,66,Jonathan Loaisiga
mlb,666134,67,Nolan Jones
mlb,660813,68,Brusdar Graterol
mlb,669160,69,Dustin May
mlb,666158,70,Gavin Lux
mlb,663624,71,Ryan Mountcastle
mlb,673258,72,Michel Baez
mlb,641541,73,Jon Duplantier
mlb,663531,74,Logan Allen
mlb,671277,75,Luis Garcia
mlb,663878,76,Nate Pearson
mlb,658431,77,Adonis Medina
mlb,658530,78,Franklin Perez
mlb,656308,79,Michael Chavis
mlb,641540,80,Dane Dunning
mlb,656686,81,Corbin Martin
mlb,669060,82,Bryse Wilson
mlb,642203,83,Taylor Widener
mlb,660613,84,Ronaldo Hernandez
mlb,668968,85,Hans Crouse
mlb,671221,86,Drew Waters
mlb,680552,87,Travis Swaggerty
mlb,679881,88,Julio Pablo Martinez
mlb,668390,89,Cole Winn
mlb,669084,90,DL Hall
mlb,643290,91,Justin Dunn
mlb,671218,92,Heliot Ramos
mlb,677960,93,Ryan Weathers
mlb,665804,94,Miguel Amaya
mlb,666213,95,Colton Welker
mlb,665833,96,Oneil Cruz
mlb,656266,97,J.B. Bukauskas
mlb,672078,98,Eric Pardinho
mlb,673516,99,Victor Victor Mesa
mlb,663538,100,Nico Hoerner
